แล้ว	lɛ́ːw
ความเงียบสงบ	kʰwaːm ŋîːap sà ŋòp
วันธรรมดา	wan tʰam má daː
การรับสินบน	kaːn ráp sǐn bon
สคีมา	sà kʰiː maː
แก้ปัญหา	kɛ̂ː pan hǎː
ขอร้อง	kʰɔ̌ː rɔ́ːŋ
รบกวน	róp kuːan
ข้อมือ	kʰɔ̂ː mɯː
แข่งขัน	kʰɛ̀ŋ kʰǎn
สนิม	sà nǐm
ข้อความ	kʰɔ̂ː kʰwaːm
จุดยึด	tɕùt jɯ́t
วิสกี้	wít sà kîː
อนุกรมวิธาน	ʔà núʔ krom wíʔ tʰaːn
คนบาป	kʰon bàːp
เปลี่ยน	plìːan
แตกหัก	tɛ̀ːk hàk
แจกจ่าย	tɕɛ̀ːk tɕàːj
ตัวเรียกใช้งาน	tuːa rîːak tɕʰáj ŋaːn
พฤติกรรม	pʰrɯ́ʔ tìʔ kam
สรรเสริญ	sǎn sɤ̌ːn
การขยายเสียง	kaː rók jaːj sǐːaŋ
สุดยอด	sùt jɔ̂ːt
ลูกขุน	lûːk kʰǔn
ปิดถนน	pìʔ dòt non
แตกต่าง	tɛ̀ːk tàːŋ
เอ็นดู	ʔen duː
ผู้อ่าน	pʰûː ʔàːn
ประตู	pràʔ tuː
ผู้ตรวจสอบ	pʰûː trùːat sɔ̀ːp
คล่องตัว	kʰlɔ̂ːŋ tuːa
นักบินอวกาศ	nák bin ʔà wá kàːt
พูดคุย	pʰûːt kʰuj
ริ้วรอย	ríw rɔːj
พงศาวดาร	pʰoŋ sǎː wá daːn
ค่าสิทธิ	kʰâː sìt tʰíʔ
วัยกลางคน	waj klaːŋ kʰon
ตับอ่อน	tàp ʔɔ̀ːn
นักบินอวกาศ	nák bin ʔà wá kàːt
รถม้า	rót máː
ธารน้ำแข็ง	tʰaːn nám kʰɛ̌ŋ
หูฟัง	hǔː faŋ
ขาประจำ	kʰǎː pràʔ tɕam
ผิดธรรมชาติ	pʰìt tʰam tɕʰaː tìʔ
การคุมกำเนิด	kaːn kʰum kam nɤ̀ːt
กดดัน	kòt dan
ยืนยัน	jɯːn jan
กล้า	klâː
รักต่างเพศ	rák tàːŋ pʰêːt
ผิว	pʰǐw
สัตวแพทย์	sàt tàʔ wáʔ pʰɛ̂ːt
ความอดอยาก	kʰwaːm ʔòt ʔà jâːk
กระตุ้น	kràʔ tûn
ขนาดกลาง	kʰà nàːt klaːŋ
ความอยาก	kʰwaːm jàːk
จุดสุดยอด	tɕùt sùt jɔ̂ːt
ขอบคุณ	kʰɔ̀ːp kʰun
หม้อปรุงอาหาร	mɔ̂ːp ruŋ ʔaː hǎːn
สายลับ	sǎːj láp
วิทยาลัย	wít tʰá jaː laj
ฝัก	fàk
สเปน	sà peːn
อาศัย	ʔaː sǎj
ร้านบูติก	ráːn buː tìk
ถุงยางอนามัย	tʰǔŋ jaːŋ ʔà naː maj
ผู้หญิง	pʰûː jǐŋ
ทิศทาง	tʰít tʰaːŋ
บราวนี่	bɔ̀ʔ raːw nîː
ฟาสซิสต์	fâːt sít
ชาวนา	tɕʰaːw naː
ระบุ	ráʔ bùʔ
ตะไคร่น้ำ	tàʔ kʰrâj náːm
ต้ม	tôm
สิ่งที่เกิดขึ้น	sìŋ tʰîː kɤ̀ːt kʰɯ̂n
คาดการณ์ได้	kʰâːt kaːn dâj
ก้าว	kâːw
เป็นธรรมชาติ	pen tʰam má tɕʰâːt
ปุย	puj
ปาร์ตี้	paː tîː
คลังข้อมูล	kʰlaŋ kʰɔ̂ː muːn
ถนน	tʰà nǒn
การข่มขู่	kaːn kʰòm kʰùː
แมช	mɛ̂ːt
นอนไม่หลับ	nɔːn mâj làp
เอาใจใส่	ʔaw tɕaj sàj
อย่างละเอียด	jàːŋ láʔ ʔìːat
ความแตกต่าง	kʰwaːm tɛ̀ːk tàːŋ
ช้อนชา	tɕʰɔ́ːn tɕʰaː
สลับ	sà làp
ไม่เปิดเผย	mâj pɤ̀ːt pʰɤ̌ːj
แล่	lɛ̂ː
บรรณารักษ์	ban naː rák
โฆษณา	kʰôːt sà naː
มีชื่อเสียง	miː tɕʰɯ̂ː sǐːaŋ
การหลั่ง	kaːn làŋ
ทางการแพทย์	tʰaːŋ kaːn pʰɛ̂ːt
พิธีกรรม	pʰíʔ tʰiː kam
อะดรีนาลีน	ʔàʔ dà riː naː liːn
ขนมปัง	kʰà nǒm paŋ
ผิดปกติ	pʰìt pà kà tìʔ
เส้นทาง	sên tʰaːŋ
ฝนตก	fǒn tòk
กำพร้า	kam pʰráː
ขด	kʰòt
โทรทัศน์	tʰoː rá tʰát
ปฏิบัติตาม	pà tìʔ bàt taːm
ลูก	lûːk
ตะวันออกเฉียงเหนือ	tàʔ wan ʔɔ̀ːk tɕʰǐːaŋ nɯ̌ːa
ระเบิด	ráʔ bɤ̀ːt
ความผิดพลาด	kʰwaːm pʰìt pʰlâːt
ความผิดปกติ	kʰwaːm pʰìt pòk tìʔ
การสกัดกั้น	kaː rót kàt kân
เทอร์โมมิเตอร์	tʰɤː moː míʔ tɤː
จิบ	tɕìp
ส้อม	sɔ̂ːm
การให้คำปรึกษา	kaːn hâj kʰam prɯ̀k sǎː
อรรถ	ʔàt tʰàʔ
หลอน	lɔ̌ːn
ด้นสด	dôn sòt
กบฏ	kà bòt
การกลั่น	kaːn klàn
การประลอง	kaːn pràʔ lɔːŋ
ความเป็นเอกลักษณ์	kʰwaːm pen ʔèːk lák sà
ท่าเทียบเรือ	tʰâː tʰîːap rɯːa
ธรรมดา	tʰam má daː
ทะลุทะลวง	tʰáʔ lúʔ tʰáʔ luːaŋ
ต่อเนื่อง	tɔ̀ː nɯ̂ːaŋ
ตกลง	tòk loŋ
เมน	meːn
กำหนดเป้าหมายใหม่	kam nòt pâw mǎːj màj
เหงือก	ŋɯ̀ːak
พูดพล่อย	pʰûːt pʰlɔ̂ːj
เขี่ย	kʰìːa
ช่วงบ่าย	tɕʰûːaŋ bàːj
คู่หมั้น	kʰûː mân
เข็มขัด	kʰěm kʰàt
นามธรรม	naːm má tʰam
การกระจายตัว	kaːn kràʔ tɕaːj tuːa
ยังคงมีอยู่	jaŋ kʰoŋ miː ʔà jûː
คำปฏิญาณ	kʰam pà tìʔ jaːn
ประกาศแจ้ง	pràʔ kàːt tɕɛ̂ːŋ
เทคโน	tʰêːk noː
กระดาษห่อ	kràʔ dàːt hɔ̀ː
การอนุมาน	kaː rɔː núʔ maːn
ที่ยังหลงเหลืออยู่	tʰîː jaŋ lǒŋ lɯ̌ːa ʔà jûː
ซิการ์	síʔ kaː
รางน้ำ	raːŋ náːm
เลข	lêːk
ฟีโนไทป์	fiː noː tʰaj
กลมกล่อม	klom klɔ̀ːm
ตัวอ่อน	tuːa ʔɔ̀ːn
ภาษาถิ่น	pʰaː sǎː tʰìn
ลงโทษ	loŋ tʰôːt
เป็นระเบียบเรียบร้อย	pen ráʔ bìːap rîːap rɔ́ːj
สะดุด	sàʔ dùt
นโปเลียน	ná poː liːan
สอบถาม	sɔ̀ːp tʰǎːm
อะแดปเตอร์	ʔàʔ dɛ̀ːp tɤː
ติดยาเสพติด	tìt jaː sèːp tìt
ความแตกแยก	kʰwaːm tɛ̀ːk jɛ̂ːk
โคเคน	kʰoː kʰeːn
เสริม	sɤ̌ːm
พูดตรงไปตรงมา	pʰûːt troŋ paj troŋ maː
แผ่นงาน	pʰɛ̀n ŋaːn
สองครั้ง	sɔ̌ːŋ kʰráŋ
มุม	mum
ฝ่ายซ้าย	fàːj sáːj
เติม	tɤːm
สูงกว่าปริญญาตรี	sǔːŋ kwàːp rin jâːt riː
โบรชัวร์	boːn tɕʰuːa
ใช้เวลานาน	tɕʰáj weː laː naːn
ชีวเคมี	tɕʰiː wá kʰeː miː
โรสแมรี่	rôːt mɛː rîː
ตกต่ำ	tòk tàm
เจาะลึก	tɕɔ̀ʔ lɯ́k
ข้อเสียเปรียบ	kʰɔ̂ː sǐːa prìːap
นามแฝง	naːm fɛ̌ːŋ
ซิมโฟนี	sim foː niː
จูนเนอร์	tɕuːn nɤː
คู่มือ	kʰûː mɯː
ปู	puː
การรับทราบ	kaːn ráp tʰá râːp
รอบคอบ	rɔ̂ːp kʰɔ̂ːp
ล้าน	láːn
นักว่ายน้ำ	nák wâːj náːm
หินทราย	hǐn saːj
เบื้องหลัง	bɯ̂ːaŋ lǎŋ
สกุล	sà kun
เศรษฐี	sèːt tʰǐː
เสาอากาศ	sǎw ʔaː kàːt
ขอบ	kʰɔ̀ːp
เบี้ยว	bîːaw
ออกแรง	ʔɔ̀ːk rɛːŋ
แต้มต่อ	tɛ̂ːm tɔ̀ː
ทำให้นึกถึง	tʰam hâj nɯ́k tʰɯ̌ŋ
มีอิสรเสรี	miː ʔìʔ sɔ̌ːn sěː riː
คันเร่ง	kʰan rêŋ
บรรยากาศ	ban jaː kàːt
ถูกกัด	tʰùːk kàt
ลำบาก	lam bàːk
เด็กๆ	dèk dèk
เปล	pleː
ตัดขวาง	tàt kʰwǎːŋ
ต้นแบบ	tôn bɛ̀ːp
หมายถึง	mǎːj tʰɯ̌ŋ
รอบแรก	rɔ̂ːp rɛ̂ːk
ผู้ดูแล	pʰûː duː lɛː
แนบเนียน	nɛ̂ːp niːan
ขัดแย้ง	kʰàt jɛ́ːŋ
ตะวันตกเฉียงเหนือ	tàʔ wan tòk tɕʰǐːaŋ nɯ̌ːa
เพ้อฝัน	pʰɤ́ː fǎn
ความเท่าเทียมกัน	kʰwaːm tʰâw tʰiːam kan
ไม่ได้ตั้งใจ	mâj dâj tâŋ tɕaj
สาวๆ	sǎːw sǎːw
แพนเค้ก	pʰɛːn kʰék
สาม	sǎːm
เชื้อรา	tɕʰɯ́ːa raː
เค็ม	kʰem
ดาร์บี้	daː bîː
การจำลองเสมือน	kaːn tɕam lɔːŋ sà mɯ̌ːan
ความรู้	kʰwaːm rúː
ตา	taː
ด้วยความเคารพ	dûaj kʰwaːm kʰaw róp
การส่งออก	kaːn sòŋ ʔɔ̀ːk
ตอร์ปิโด	tɔː pìʔ doː
บาร์เทนเดอร์	baː tʰeːn dɤː
เพลิดเพลิน	pʰlɤ̂ːt pʰlɤːn
บล็อก	bà lɔ́k
จู๋	tɕǔː
การมอบหมาย	kaːn mɔ̂ːp mǎːj
อบอุ่น	ʔòp ʔùn
ความปราชัย	kʰwaːm pàʔ raː tɕʰaj
บ่ม	bòm
เรียก	rîːak
ภายนอก	pʰaːj nɔ̂ːk
เบื่อหน่าย	bɯ̀ːa nàːj
กลับใจ	klàp tɕaj
หมายถึง	mǎːj tʰɯ̌ŋ
กะทันหัน	kàʔ tʰan hǎn
พลบค่ำ	pʰlóp kʰâm
คำพ้องความหมาย	kʰam pʰɔ́ːŋ kʰwaːm mǎːj
กางเกงใน	kaːŋ keːŋ naj
ยังไม่ได้เผยแพร่	jaŋ mâj dâj pʰɤ̌ːj pʰrɛ̂ː
การลาดตระเวน	kaːn lâːt tràʔ weːn
พายุไซโคลน	pʰaː júʔ saj kʰloːn
เชิงสัมพันธ์	tɕʰɤːŋ sǎm pʰan
ทุบตี	tʰúp tiː
ใจความ	tɕaj kʰwaːm
ล่อลวง	lɔ̂ː luːaŋ
เป็นกลาง	pen klaːŋ
ใบปลิว	baj pliw
อารมณ์	ʔaː rom
ทาโก้	tʰaː kôː
แห้ง	hɛ̂ːŋ
ถูกเนรเทศ	tʰùːk neːn tʰêːt
ลำดับชั้น	lam dàp tɕʰán
บัญญัติ	ban jàt
ลูกกลิ้ง	lûːk klîŋ
ผู้ก่อความไม่สงบ	pʰûː kɔ̀ː kʰwaːm mâj sà ŋòp
ผู้ตี	pʰûː tiː
กล้องจุลทรรศน์	klɔ̂ːŋ tɕun tʰát
มีขอบ	miː kʰɔ̀ːp
มอบให้	mɔ̂ːp hâj
แม่บุญธรรม	mɛ̂ː bun tʰam
เลขคณิต	lêːk kʰá nít
หวด	hùːat
ภาพจิตรกรรมฝาผนัง	pʰâːp tɕìt tràʔ kam fǎː pʰà nǎŋ
เสียใจ	sǐːa tɕaj
บ่น	bòn
มีพนักงาน	mîːp nák ŋaːn
งานค้าง	ŋaːn kʰáːŋ
พร้อมกัน	pʰrɔ́ːm kan
ตะปู	tàʔ puː
ลอย	lɔːj
สกัดกั้น	sà kàt kân
เด็ก	dèk
อ่อนแอที่สุด	ʔɔ̀ːn ʔɛː tʰîː sùt
อีนุงตุงนัง	ʔiː nuŋ tuŋ naŋ
เชื้อรา	tɕʰɯ́ːa raː
วิดีโอ	wíʔ diː ʔoː
ไวโอเล็ต	waj ʔoː lét
บันทึกความทรงจำ	ban tʰɯ́k kʰwaː mót roŋ tɕam
อนุมัติ	ʔà núʔ mát
บลูเบอร์รี่	bluː bɤː rîː
ล้างทำความสะอาดได้	láːŋ tʰam kʰwaːm sàʔ ʔàːt dâj
วาระการประชุม	waː ráʔ kaːn pràʔ tɕʰum
ภาษี	pʰaː sǐː
สั้นลง	sân loŋ
อัลคาไลน์	ʔan kʰaː laj
ความรู้สึก	kʰwaːm rúː sɯ̀k
ไม่ระบุ	mâj ráʔ bùʔ
ความจริง	kʰwaːm tɕiŋ
แข่งขัน	kʰɛ̀ŋ kʰǎn
บงการ	boŋ kaːn
ป่าไม้	pàː máːj
ความแตกต่าง	kʰwaːm tɛ̀ːk tàːŋ
โดยตรง	doːj troŋ
ช่วงชิง	tɕʰûːaŋ tɕʰiŋ
นักชีววิทยา	nák tɕʰiː wá wít tʰá jaː
สื่อสาร	sɯ̀ː sǎːn
กำลังดำเนินการ	kam laŋ dam nɤːn kaːn
แดน	dɛːn
โดยไม่จำเป็น	doːj mâj tɕam pen
ปิด	pìt
การประชุมสัมมนา	kaːn pràʔ tɕʰum sǎm má naː
อพยพ	ʔòp pʰá jóp
อีพ็อกซี่	ʔiː pʰɔ́k sîː
นักกอล์ฟ	nák kɔ̀ːf
กลืน	klɯːn
อคติ	ʔà kʰá tìʔ
เชิงกราน	tɕʰɤːŋ kraːn
ประสิทธิภาพ	pràʔ sìt tʰíʔ pʰâːp
ควัน	kʰwan
ผู้กระทำความผิด	pʰûː kràʔ tʰam kʰwaːm pʰìt
ดล	don
หลักสำคัญ	làk sǎm kʰan
ยอดเยี่ยม	jɔ̂ːt jîːam
เบลอ	blɤː
ยี่สิบ	jîː sìp
ประเมินค่าต่ำไป	pràʔ mɤːn kʰâː tàm paj
ไม่เชิงเส้น	mâj tɕʰɤːŋ sên
ยับยั้ง	jáp jáŋ
แยกทาง	jɛ̂ːk tʰaːŋ
ข้อห้าม	kʰɔ̂ː hâːm
พ้น	pʰón
พาร์ทิชัน	pʰaː tʰíʔ tɕʰan
หนังสือรับรอง	nǎŋ sɯ̌ː ráp rɔːŋ
เทียบท่า	tʰîːap tʰâː
ขาด	kʰàːt
คูณ	kʰuːn
เคลื่อนย้ายได้	kʰlɯ̂ːan jáːj dâj
แก้ไข	kɛ̂ː kʰǎj
แพ้ภูมิตัวเอง	pʰɛ́ː pʰuː míʔ tuːa ʔeːŋ
เจ้าหนู	tɕâw nǔː
นึกถึง	nɯ́k tʰɯ̌ŋ
ชะมัด	tɕʰáʔ mát
ย่าง	jâːŋ
โรคลมบ้าหมู	rôːk lom bâː mǔː
ลดน้อยลง	lót nɔ́ːj loŋ
พิถีพิถัน	pʰíʔ tʰǐː pʰíʔ tʰǎn
ใกล้	klâj
การออกแบบท่าเต้น	kaːn ʔɔ̀ːk bɛ̀ːp tʰâː tên
แนวปะการัง	nɛːw pàʔ kaː raŋ
เมล็ด	má lét
เยื่อบุผิว	jɯ̂ːa bùʔ pʰǐw
ด่าน	dàːn
ห้องข่าว	hɔ̂ːŋ kʰàːw
ลายนิ้วมือ	laːj níw mɯː
จ้องมอง	tɕɔ̂ːŋ mɔːŋ
ตัวละครเอก	tuːa láʔ kʰɔːn ʔèːk
ปฏิเสธไม่ได้	pà tìʔ sèːt mâj dâj
นักเล่นสเก็ต	nák lêʔ nót kèt
ไม่เกรงกลัว	mâj kreːŋ kluːa
การนำไฟฟ้า	kaːn nam faj fáː
นิรันดร์	níʔ ran
ความชั่วร้าย	kʰwaːm tɕʰûːa ráːj
พูดน้อย	pʰûːt nɔ́ːj
มองย้อนกลับไป	mɔːŋ jɔ́ːn klàp paj
เสื้อท่อนบน	sɯ̂ːa tʰɔ̂ːn bon
ฟลอปปี้	flɔ̂ːp pîː
ใช่	tɕʰâj
ไวยกรณ์	waj kɔːn
ตาข่าย	taː kʰàːj
แพงเกินไป	pʰɛːŋ kɤːn paj
เนินทราย	nɤːn saːj
ถวาย	tʰà wǎːj
โจ๋งครึ่ม	tɕǒːŋ kʰrɯ̂m
ฮาร์มอนิก	haː mɔː ník
เสมหะ	sěːm hàʔ
การแบ่งแยกสีผิว	kaːn bɛ̀ŋ jɛ̂ːk sǐː pʰǐw
มะเขือ	máʔ kʰɯ̌ːa
หลักสูตร	làk sùːt
การจ่ายเงิน	kaːn tɕàːj ŋɤːn
เกณฑ์มาตรฐาน	keːn mâːt tràʔ tʰǎːn
ส่องสว่าง	sɔ̀ːŋ sà wàːŋ
ทำซ้ำ	tʰam sáːm
มหาศาล	má hǎː sǎːn
นักการทูต	nák kaːn tʰûːt
มั่นใจ	mân tɕaj
พฤติกรรม	pʰrɯ́ʔ tìʔ kam
อิตาเลียน	ʔìʔ taː liːan
ตาบอด	taː bɔ̀ːt
นักเตะ	nák tèʔ
เพราะ	pʰrɔ́ʔ
แคลคูลัส	kʰlɛː kʰuː lát
อาการ	ʔaː kaːn
พื้นที่เพาะปลูก	pʰɯ́ːn tʰîː pʰɔ́ʔ plùːk
ตระหง่าน	tràʔ ŋàːn
การปรับใช้	kaːn pràp tɕʰáj
เฉื่อย	tɕʰɯ̀ːaj
จมูก	tɕà mùːk
แรงขับ	rɛːŋ kʰàp
ถี่ยิบ	tʰìː jíp
หนังสือเดินทาง	nǎŋ sɯ̌ː dɤːn tʰaːŋ
วางยาพิษ	waːŋ jaː pʰít
จิตใจ	tɕìt tɕaj
ความสันโดษ	kʰwaːm sǎn dòːt
ขอโทษ	kʰɔ̌ː tʰôːt
ชั้นเลว	tɕʰán leːw
คณิตศาสตร์	kʰá nít tà sàːt
ชัก	tɕʰák
อย่างเร่งด่วน	jàːŋ rêŋ dùːan
มรณกรรม	mɔː rá ná kam
กระจาย	kràʔ tɕaːj
การปลูกถ่าย	kaːn plùːk tʰàːj
โดยเร็ว	doːj rew
กดขี่	kòt kʰìː
ลูกบิด	lûːk bìt
โม้	móː
เวดจ์	wêːt
เนรเทศ	neː rá tʰêːt
อย่างพิถีพิถัน	ʔà jâːŋ pʰíʔ tʰǐː pʰíʔ tʰǎn
ประดับประดา	pràʔ dàp pràʔ daː
สร้างใหม่	sà ráːŋ màj
หันเห	hǎn hěː
การเขียนสคริปต์	kaːn kʰǐːan sòk ríp
ไม่แพ้ใคร	mâj pʰɛ́ː kʰraj
เติมเต็ม	tɤːm tem
เรียง	riːaŋ
โปรโมเตอร์	proː moː tɤː
ทีม	tʰiːm
ไม้ก๊อก	máːj kɔ́ːk
สงบลง	sà ŋòp loŋ
บนหน้าจอ	bon nâː tɕɔː
ชี้แจง	tɕʰíː tɕɛːŋ
ความเหมาะสม	kʰwaːm mɔ̀ʔ sǒm
เด่น	dèn
โวลต์	woːn
ไม่จริง	mâj tɕiŋ
จิน	tɕin
ยอมรับ	jɔːm ráp
ปกแข็ง	pòk kʰɛ̌ŋ
ให้สัตยาบัน	hâj sàt jaː ban
ฉาวโฉ่	tɕʰǎːw tɕʰòː
อย่างเห็นได้ชัด	ʔà jâːŋ hěn dâj tɕʰát
การลงทะเบียน	kaːn loŋ tʰáʔ biːan
การเลี้ยงดู	kaːn líːaŋ duː
ไร้ประโยชน์	ráj pràʔ jòːt
อัตโนมัติ	ʔàt tà noː mát
ขจัด	kʰà tɕàt
เวลากลางคืน	weː laː klaːŋ kʰɯːn
ตอก	tɔ̀ːk
ไอโซ	ʔaj soː
ข้อตกลง	kʰɔ̂ː tòk loŋ
รัก	rák
คับแคบ	kʰáp kʰɛ̂ːp
แฉ	tɕʰɛ̌ː
มีความสำคัญ	mîːk waːm sǎm kʰan
ทรงตัว	soŋ tuːa
ที่สิบแปด	tʰîː sìp pɛ̀ːt
กะลา	kàʔ laː
บลูทูธ	bluː tʰûːt
การลักลอบนำเข้า	kaːn lák lɔ̂ːp nam kʰâw
ลิงก์ย้อนกลับ	liŋ jɔ́ːn klàp
เปล	pleː
นาทีสุดท้าย	naː tʰiː sùt tʰáːj
ความซื่อสัตย์	kʰwaːm sɯ̂ː sàt
วัยเด็ก	waj dèk
เห่า	hàw
เปปไทด์	pèːp tʰaj
ร้าย	ráːj
เดินป่า	dɤːn pàː
กว้างขึ้น	kwâːŋ kʰɯ̂n
อัครสาวก	ʔàk kʰráʔ sǎː wók
ผู้ปกครอง	pʰûː pòk kʰrɔːŋ
คลาริเน็ต	kʰlaː ríʔ nét
อุทธรณ์	ʔùt tʰɔːn
คอด	kʰɔ̂ːt
มากมาย	mâːk maːj
เครื่องเป่าลม	kʰrɯ̂ːaŋ pàw lom
ผู้แสดงความคิดเห็น	pʰûː sɛ̀ːt ŋók waːm kʰít hěn
ความเชี่ยวชาญ	kʰwaːm tɕʰîːaw tɕʰaːn
ขนาดใหญ่	kʰà nàːt jàj
พิซซ่า	pʰís sâː
ประปราย	pràʔ praːj
การเปิดเผยข้อมูล	kaːn pɤ̀ːt pʰɤ̌ːj kʰɔ̂ː muːn
อุปถัมภ์	ʔùp pà tʰǎm
พจนานุกรม	pʰót tɕà naː núʔ krom
ขายดี	kʰǎːj diː
ด้วยวาจา	dûaj waː tɕaː
สนุกสนานกันอย่างเป็นบ้าเป็นหลัง	sà núk sà naːn kan ʔà jâːŋ pen bâː pen lǎŋ
แอมโมเนีย	ʔɛːm moː niːa
โรคภัยไข้เจ็บ	rôːk pʰaj kʰâj tɕèp
ยืนยาว	jɯːn jaːw
สระ	sà ràʔ
คลังสินค้า	kʰlaŋ sǐn kʰáː
พอง	pʰɔːŋ
ความซ้ำซ้อน	kʰwaːm sáːm sɔ́ːn
ตะ	tàʔ
โค้ง	kʰóːŋ
นักแข่ง	nák kʰɛ̀ŋ
กำหนด	kam nòt
สหพันธรัฐ	sà hà pʰan tʰá rát
สว่าง	sà wàːŋ
ดี	diː
กรงเล็บ	kroŋ lép
รับบี	ráp biː
ผู้ประกาศ	pʰûː pràʔ kàːt
ร้านขายยา	ráːn kʰǎːj jaː
แจกจ่าย	tɕɛ̀ːk tɕàːj
ขยันหมั่นเพียร	kʰà jǎn màn pʰiːan
ผู้ช่วย	pʰûː tɕʰûaj
แกะสลัก	kɛ̀ʔ sà làk
ตัวอ่อน	tuːa ʔɔ̀ːn
ช่าง	tɕʰâŋ
ลดลง	lót loŋ
ปีกซ้าย	pìːk sáːj
มอบรางวัล	mɔ̂ːp raːŋ wan
ทานตะวัน	tʰaːn tàʔ wan
เปล	pleː
กองกลาง	kɔːŋ klaːŋ
ดอย	dɔːj
น่อง	nɔ̂ːŋ
กำลังตอบกลับ	kam laŋ tɔ̀ːp klàp
การดำรงชีวิต	kaːn dam roŋ tɕʰiː wít
ไหล	lǎj
คลั่ง	kʰlâŋ
อนุญาตให้ทำได้	ʔà núʔ jâːt hâj tʰam dâj
ทุ่งหญ้า	tʰûŋ jâː
หลงใหล	lǒŋ lǎj
วอลนัท	wɔːn nát
ความชุ่มชื้น	kʰwaːm tɕʰûm tɕʰɯ́ːn
ร่องลึก	rɔ̂ːŋ lɯ́k
ไม่ชอบ	mâj tɕʰɔ̂ːp
กะหล่ำ	kàʔ làm
ครั้งเดียว	kʰráŋ diːaw
วาบ	wâːp
พายเรือ	pʰaːj rɯːa
ลักษณะ	lák sàʔ nàʔ
รักร่วมเพศ	rák rûːam pʰêːt
เดลี่	deː lîː
ทางรถไฟ	tʰaːŋ rót faj
สัญญาณ	sǎn jaːn
ผู้ดูแล	pʰûː duː lɛː
โพลาไรซ์	pʰoː laː raj
เฝ้า	fâw
อย่างไม่น่าเชื่อ	ʔà jâːŋ mâj nâː tɕʰɯ̂ːa
คลำ	kʰlam
แสน	sɛ̌ːn
ใส่ผิดที่	sàj pʰìt tʰîː
ท้องฟ้า	tʰɔ́ːŋ fáː
ภาพประกอบ	pʰâːp pràʔ kɔ̀ːp
รูปร่าง	rûːp râːŋ
ห้องน้ำ	hɔ̂ːŋ náːm
ผลไม้ชนิดหนึ่ง	pʰǒn máj tɕʰá nít nɯ̀ŋ
ปิดบัง	pìt baŋ
พระธรรมเทศนา	pʰráʔ tʰam tʰêːt naː
ท่อง	tʰɔ̂ːŋ
ใกล้ชิด	klâj tɕʰít
การปฏิเสธ	kaːn pà tìʔ sèːt
รับรอง	ráp rɔːŋ
อารมณ์	ʔaː rom
ไบต์	baj
อย่างกล้าหาญ	ʔà jâːŋ klâː hǎːn
เพลงสดุดี	pʰleːŋ sà dùʔ diː
เพิ่มขึ้น	pʰɤ̂ːm kʰɯ̂n
หนี	nǐː
ค่าย	kʰâːj
สุ่ม	sùm
แม่ชี	mɛ̂ː tɕʰiː
วิโอลา	wíʔ ʔoː laː
ท้ายเรือ	tʰáːj rɯːa
เติมเต็ม	tɤːm tem
คนจรจัด	kʰon tɕɔːn tɕàt
พระธาตุ	pʰráʔ tʰâːt
เทศกาล	tʰêːt sà kaːn
ไธม์	tʰaj
ดม	dom
ปลาบปลื้ม	plàːp plɯ̂ːm
ความน่ารำคาญ	kʰwaːm nâː ram kʰaːn
ความไว	kʰwaːm waj
ตบเบา ๆ	tòp baw baw
ปิดเสียง	pìt sǐːaŋ
หมอ	mɔ̌ː
ปลา	plaː
เขียน	kʰǐːan
จากน้อยไปมาก	tɕàːk nɔ́ːj paj mâːk
ตั้งค่าสถานะ	tâŋ kʰâːt tʰǎː náʔ
ผู้กำกับเส้น	pʰûː kam kàp sên
น้ำหอม	nám hɔ̌ːm
สบายๆ	sà baːj sà baːj
กีดขวาง	kìːt kʰwǎːŋ
แซน	sɛːn
เพ้อ	pʰɤ́ː
หญ้า	jâː
ผู้กำหนดนโยบาย	pʰûː kam hǒn don joː baːj
ระเบียง	ráʔ biːaŋ
ปรับ	pràp
กอง	kɔːŋ
สเต็ก	sà tèk
ผู้พิพากษา	pʰûː pʰíʔ pʰâːk sǎː
พิสูจน์อักษร	pʰíʔ sùːt ʔàk sɔ̌ːn
ทางลาด	tʰaːŋ lâːt
เนิน	nɤːn
ความเพียร	kʰwaːm pʰiːan
สุ่มสี่สุ่มห้า	sùm sìː sùm hâː
ถนัด	tʰà nàt
ตัวนำ	tuːa nam
การทำลายล้าง	kaːn tʰam laːj láːŋ
ความผิดหวัง	kʰwaːm pʰìt wǎŋ
ลูกค้า	lûːk kʰáː
มุมหลัง	mum lǎŋ
กำลังเดินทาง	kam laŋ dɤːn tʰaːŋ
เคาน์เตอร์	kʰaw tɤː
รบกวน	róp kuːan
ไม่สบายใจ	mâj sà baːj tɕaj
ด้าน	dâːn
ตบ	tòp
ภายในเซลล์	pʰaːj naj seːn
พิมพ์ซ้ำ	pʰim sáːm
พนักงานต้อนรับ	pʰá nák ŋaːn tɔ̂ːn ráp
โคตร	kʰôːt
แตงโม	tɛːŋ moː
ไถนา	tʰǎj naː
รีบ	rîːp
ถอดรหัส	tʰɔ̀ːt rá hàt
ซู	suː
รู้ดีที่สุด	rúː diː tʰîː sùt
ปั่นออกไป	pàn ʔɔ̀ːk paj
ใบแจ้งหนี้	baj tɕɛ̂ːŋ nîː
ค้าง	kʰáːŋ
ฟอร์ด	fɔ̂ːd
ความสงสัย	kʰwaːm sǒŋ sǎj
การพยากรณ์โรค	kaː róp jaː kɔːn rôːk
การเปลี่ยน	kaːn plìːan
